OrderID,OrderDate,Country,Product,QuantityOrdered,Price
1560744,2020-08-01,Jamaica,laptop,14,900.0
1560882,2020-08-01,Niue,AA batteries (4-pack),8,3.99
1561503,2020-08-01,United Kingdom,laptop,15,900.0
1560365,2020-08-01,Argentina,wireless mouse,3,25.99
1561246,2020-08-01,Jordan,pencil,2,0.99
1561462,2020-08-01,Romania,eraser,7,0.49
1560636,2020-08-01,Cyprus,pencil,13,0.99
1560970,2020-08-01,Comoros,pen,10,1.25
1560357,2020-08-01,Hungary,mouse pad,9,5.99
1560985,2020-08-01,Antarctica,mouse pad,5,5.99
1561300,2020-08-01,North Macedonia,mouse pad,15,5.99
1561413,2020-08-01,Latvia,laptop,1,900.0
1561388,2020-08-01,Grenada,laptop,4,900.0
1561381,2020-08-01,Palau,notebook,14,4.99
1560747,2020-08-01,Mali,headphones,3,99.99
1560786,2020-08-01,Tunisia,wireless mouse,13,25.99
1560804,2020-08-01,South Africa,laptop,1,900.0
1560824,2020-08-01,Ghana,mouse pad,7,5.99
1561345,2020-08-01,Western Sahara,notebook,3,4.99
1561302,2020-08-01,Uruguay,notebook,15,4.99
1560997,2020-08-01,Lesotho,laptop,8,900.0
1561507,2020-08-01,Guyana,pencil,2,0.99
1560610,2020-08-01,Bangladesh,charging cable,8,11.95
1561691,2020-08-01,Georgia,laptop,15,900.0
1561646,2020-08-01,Fiji,mouse pad,15,5.99
1560470,2020-08-01,Tokelau,notebook,9,4.99
1560496,2020-08-01,Greenland,laptop,14,900.0
1561217,2020-08-01,Estonia,notebook,2,4.99
1561517,2020-08-01,Holy See (Vatican City State),wireless mouse,2,25.99
1561032,2020-08-01,Spain,notebook,2,4.99
1560534,2020-08-01,Luxembourg,charging cable,2,11.95
1561592,2020-08-01,Fiji,pencil,7,0.99
1560550,2020-08-01,Saint Kitts and Nevis,laptop,8,900.0
1561532,2020-08-01,Azerbaijan,pencil,11,0.99
1560595,2020-08-01,Djibouti,headphones,12,99.99
1561029,2020-08-01,Réunion,mouse pad,6,5.99
1561236,2020-08-01,Antigua and Barbuda,mouse pad,4,5.99
1560327,2020-08-01,Singapore,charging cable,10,11.95
1561223,2020-08-01,Pitcairn,charging cable,9,11.95
1560314,2020-08-02,Eswatini,eraser,3,0.49
1560976,2020-08-02,Hong Kong,pencil,8,0.99
1561077,2020-08-02,Northern Mariana Islands,mouse pad,7,5.99
1560939,2020-08-02,Burundi,pencil,11,0.99
1561111,2020-08-02,Indonesia,laptop,9,900.0
1560323,2020-08-02,Trinidad and Tobago,mouse pad,11,5.99
1560943,2020-08-02,Solomon Islands,charging cable,5,11.95
1560907,2020-08-02,"Palestine, State of",mouse pad,10,5.99
1561062,2020-08-02,Cuba,headphones,3,99.99
1561063,2020-08-02,Uruguay,laptop,8,900.0
1561694,2020-08-02,Turkmenistan,headphones,3,99.99
1560333,2020-08-02,China,headphones,3,99.99
1560449,2020-08-02,Algeria,laptop,8,900.0
1560459,2020-08-02,Luxembourg,eraser,1,0.49
1560469,2020-08-02,Djibouti,ruler,5,3.99
1560517,2020-08-02,Cocos (Keeling) Islands,pen,14,1.25
1560526,2020-08-02,Zambia,pencil,8,0.99
1560532,2020-08-02,Congo,eraser,10,0.49
1560555,2020-08-02,Turkey,laptop,15,900.0
1560378,2020-08-02,Bosnia and Herzegovina,notebook,5,4.99
1560572,2020-08-02,"Bonaire, Sint Eustatius and Saba",headphones,13,99.99
1560894,2020-08-02,Timor-Leste,wireless mouse,5,25.99
1560588,2020-08-02,Central African Republic,wireless mouse,15,25.99
1560621,2020-08-02,Bosnia and Herzegovina,laptop,9,900.0
1560628,2020-08-02,Myanmar,wireless mouse,6,25.99
1560639,2020-08-02,Guernsey,laptop,6,900.0
1560653,2020-08-02,Benin,mouse pad,11,5.99
1560693,2020-08-02,Cook Islands,mouse pad,12,5.99
1560718,2020-08-02,Brazil,charging cable,15,11.95
1560720,2020-08-02,Cambodia,laptop,5,900.0
1561125,2020-08-02,Georgia,laptop,14,900.0
1560876,2020-08-02,Cayman Islands,mouse pad,3,5.99
1560618,2020-08-02,Jersey,laptop,13,900.0
1561127,2020-08-02,Cook Islands,mouse pad,5,5.99
1561011,2020-08-02,Brunei Darussalam,ruler,10,3.99
1560406,2020-08-02,India,pencil,8,0.99
1561458,2020-08-02,Myanmar,laptop,15,900.0
1561455,2020-08-02,Belarus,laptop,7,900.0
1561415,2020-08-02,Viet Nam,pencil,15,0.99
1561303,2020-08-02,Malaysia,pen,5,1.25
1561261,2020-08-02,Monaco,pencil,5,0.99
1561346,2020-08-02,Saint Kitts and Nevis,AA batteries (4-pack),12,3.99
1560284,2020-08-02,Gambia,laptop,2,900.0
1560259,2020-08-02,Trinidad and Tobago,laptop,10,900.0
1561602,2020-08-02,Northern Mariana Islands,charging cable,6,11.95
1561608,2020-08-02,Poland,wireless mouse,5,25.99
1560245,2020-08-02,Georgia,headphones,11,99.99
1561627,2020-08-02,United Kingdom,eraser,8,0.49
1561510,2020-08-02,Brazil,headphones,7,99.99
1560292,2020-08-02,Kenya,mouse pad,3,5.99
1561634,2020-08-02,Serbia,headphones,4,99.99
1561209,2020-08-02,Cameroon,wireless mouse,9,25.99
1561149,2020-08-02,Namibia,notebook,11,4.99
1560297,2020-08-02,Cyprus,notebook,8,4.99
1561178,2020-08-02,Saint Lucia,pencil,9,0.99
1561177,2020-08-02,Angola,mouse pad,3,5.99
1561444,2020-08-02,Faroe Islands,laptop,13,900.0
1561380,2020-08-02,Angola,wireless mouse,7,25.99
1561237,2020-08-02,China,wireless mouse,9,25.99
1560714,2020-08-03,Myanmar,eraser,6,0.49
1561449,2020-08-03,"Palestine, State of",headphones,12,99.99
1560666,2020-08-03,Saint Barthélemy,mouse pad,4,5.99
1560662,2020-08-03,Haiti,notebook,10,4.99
1560627,2020-08-03,Haiti,mouse pad,5,5.99
1561451,2020-08-03,Holy See (Vatican City State),wireless mouse,10,25.99
1560565,2020-08-03,Western Sahara,AA batteries (4-pack),13,3.99
1561527,2020-08-03,Sint Maarten (Dutch part),eraser,1,0.49
1560592,2020-08-03,France,pen,1,1.25
1561549,2020-08-03,Philippines,charging cable,15,11.95
1560584,2020-08-03,Azerbaijan,ruler,14,3.99
1561550,2020-08-03,Andorra,pen,8,1.25
1560562,2020-08-03,Bangladesh,wireless mouse,5,25.99
1561576,2020-08-03,Christmas Island,laptop,8,900.0
1561583,2020-08-03,Kazakhstan,AA batteries (4-pack),11,3.99
1560507,2020-08-03,Bahamas,charging cable,2,11.95
1560482,2020-08-03,Gabon,pen,15,1.25
1560456,2020-08-03,Hong Kong,notebook,12,4.99
1560453,2020-08-03,Guernsey,charging cable,4,11.95
1560436,2020-08-03,Timor-Leste,pen,2,1.25
1560419,2020-08-03,"Bonaire, Sint Eustatius and Saba",mouse pad,6,5.99
1561512,2020-08-03,Liechtenstein,headphones,7,99.99
1560727,2020-08-03,Liechtenstein,pen,5,1.25
1561148,2020-08-03,Macao,charging cable,3,11.95
1560734,2020-08-03,Peru,headphones,12,99.99
1561241,2020-08-03,Poland,wireless mouse,7,25.99
1560733,2020-08-03,Zambia,charging cable,4,11.95
1561308,2020-08-03,Montenegro,mouse pad,9,5.99
1561309,2020-08-03,Norfolk Island,laptop,8,900.0
1560892,2020-08-03,New Zealand,eraser,8,0.49
1561329,2020-08-03,Slovenia,laptop,14,900.0
1561251,2020-08-03,British Indian Ocean Territory,wireless mouse,15,25.99
1561092,2020-08-03,Burundi,mouse pad,12,5.99
1560271,2020-08-03,Andorra,ruler,6,3.99
1560865,2020-08-03,Lao People's Democratic Republic,AA batteries (4-pack),4,3.99
1561338,2020-08-03,Guinea-Bissau,wireless mouse,2,25.99
1560828,2020-08-03,Kyrgyzstan,charging cable,11,11.95
1560760,2020-08-03,France,headphones,2,99.99
1560789,2020-08-03,Cayman Islands,notebook,2,4.99
1560859,2020-08-03,"Korea, Republic of",headphones,14,99.99
1560812,2020-08-03,Burundi,mouse pad,3,5.99
1560286,2020-08-03,"Moldova, Republic of",pen,5,1.25
1560814,2020-08-03,Montenegro,wireless mouse,12,25.99
1561136,2020-08-03,Cameroon,pen,9,1.25
1560455,2020-08-04,Guinea,mouse pad,7,5.99
1560523,2020-08-04,Jersey,wireless mouse,5,25.99
1561649,2020-08-04,Bangladesh,pencil,4,0.99
1560412,2020-08-04,Seychelles,pencil,4,0.99
1560506,2020-08-04,Yemen,AA batteries (4-pack),13,3.99
1561240,2020-08-04,Argentina,laptop,12,900.0
1561141,2020-08-04,Iceland,laptop,2,900.0
1561057,2020-08-04,Azerbaijan,eraser,11,0.49
1560427,2020-08-04,Finland,mouse pad,14,5.99
1561222,2020-08-04,Northern Mariana Islands,notebook,12,4.99
1560434,2020-08-04,Palau,laptop,14,900.0
1561640,2020-08-04,Kuwait,wireless mouse,5,25.99
1561188,2020-08-04,Guatemala,mouse pad,4,5.99
1560437,2020-08-04,Kiribati,pencil,1,0.99
1561632,2020-08-04,Djibouti,mouse pad,4,5.99
1560936,2020-08-04,American Samoa,laptop,9,900.0
1560538,2020-08-04,Niue,headphones,9,99.99
1561361,2020-08-04,Qatar,charging cable,6,11.95
1561360,2020-08-04,Djibouti,pencil,5,0.99
1560702,2020-08-04,Zambia,charging cable,6,11.95
1560684,2020-08-04,Angola,eraser,12,0.49
1560670,2020-08-04,"Congo, The Democratic Republic of the",wireless mouse,1,25.99
1561457,2020-08-04,British Indian Ocean Territory,AA batteries (4-pack),6,3.99
1561475,2020-08-04,"Virgin Islands, U.S.",mouse pad,9,5.99
1561500,2020-08-04,Mauritius,wireless mouse,13,25.99
1560891,2020-08-04,Suriname,notebook,11,4.99
1560617,2020-08-04,Russian Federation,charging cable,1,11.95
1561311,2020-08-04,Falkland Islands (Malvinas),AA batteries (4-pack),15,3.99
1560902,2020-08-04,Poland,headphones,7,99.99
1560924,2020-08-04,Canada,eraser,15,0.49
1561274,2020-08-04,Croatia,notebook,6,4.99
1561553,2020-08-04,Heard Island and McDonald Islands,pencil,14,0.99
1561554,2020-08-04,China,ruler,4,3.99
1561557,2020-08-04,Bahamas,headphones,10,99.99
1560990,2020-08-04,Bhutan,pencil,7,0.99
1560715,2020-08-04,Israel,laptop,8,900.0
1560227,2020-08-04,Samoa,wireless mouse,8,25.99
1560390,2020-08-04,Armenia,mouse pad,2,5.99
1560289,2020-08-04,Lithuania,pencil,15,0.99
1560351,2020-08-04,Mexico,wireless mouse,4,25.99
1560264,2020-08-04,Benin,wireless mouse,6,25.99
1561074,2020-08-05,Armenia,charging cable,15,11.95
1560441,2020-08-05,Egypt,wireless mouse,2,25.99
1560232,2020-08-05,"Bonaire, Sint Eustatius and Saba",headphones,13,99.99
1560551,2020-08-05,Viet Nam,mouse pad,5,5.99
1561183,2020-08-05,Turkmenistan,charging cable,14,11.95
1560447,2020-08-05,Equatorial Guinea,pencil,12,0.99
1561179,2020-08-05,American Samoa,charging cable,15,11.95
1560765,2020-08-05,Uganda,charging cable,15,11.95
1561614,2020-08-05,Faroe Islands,charging cable,11,11.95
1561144,2020-08-05,Brunei Darussalam,laptop,6,900.0
1561025,2020-08-05,Northern Mariana Islands,eraser,4,0.49
1560691,2020-08-05,Holy See (Vatican City State),AA batteries (4-pack),9,3.99
1561004,2020-08-05,Argentina,laptop,8,900.0
1560460,2020-08-05,Qatar,headphones,6,99.99
1561132,2020-08-05,Cambodia,wireless mouse,14,25.99
1561126,2020-08-05,Honduras,charging cable,4,11.95
1561439,2020-08-05,Cabo Verde,laptop,2,900.0
1561051,2020-08-05,Côte d'Ivoire,notebook,12,4.99
1561546,2020-08-05,"Venezuela, Bolivarian Republic of",wireless mouse,8,25.99
1560238,2020-08-05,Italy,headphones,1,99.99
1561582,2020-08-05,Guadeloupe,mouse pad,15,5.99
1560735,2020-08-05,Thailand,headphones,5,99.99
1560560,2020-08-05,Tuvalu,charging cable,3,11.95
1560716,2020-08-05,Puerto Rico,ruler,9,3.99
1561603,2020-08-05,Anguilla,laptop,13,900.0
1560269,2020-08-05,Belize,eraser,6,0.49
1561493,2020-08-05,Tonga,mouse pad,3,5.99
1560788,2020-08-05,"Korea, Democratic People's Republic of",eraser,10,0.49
1560864,2020-08-05,Mongolia,laptop,7,900.0
1560874,2020-08-05,South Georgia and the South Sandwich Islands,headphones,4,99.99
1561684,2020-08-05,Norfolk Island,laptop,11,900.0
1560877,2020-08-05,Senegal,headphones,9,99.99
1560414,2020-08-05,Malta,notebook,14,4.99
1561427,2020-08-05,Falkland Islands (Malvinas),laptop,8,900.0
1560922,2020-08-05,Somalia,eraser,2,0.49
1560927,2020-08-05,Canada,wireless mouse,9,25.99
1561001,2020-08-05,Chile,wireless mouse,14,25.99
1561464,2020-08-05,Anguilla,charging cable,14,11.95
1560949,2020-08-05,Jamaica,wireless mouse,13,25.99
1560953,2020-08-05,Holy See (Vatican City State),laptop,13,900.0
1560531,2020-08-05,Oman,wireless mouse,3,25.99
1560634,2020-08-05,Algeria,laptop,4,900.0
1561564,2020-08-05,"Iran, Islamic Republic of",mouse pad,10,5.99
1561652,2020-08-05,"Korea, Democratic People's Republic of",laptop,5,900.0
1561476,2020-08-05,Czechia,notebook,11,4.99
1560790,2020-08-05,Sao Tome and Principe,pencil,5,0.99
1561312,2020-08-06,Armenia,wireless mouse,7,25.99
1560658,2020-08-06,Jordan,eraser,13,0.49
1561491,2020-08-06,Guinea,mouse pad,2,5.99
1560713,2020-08-06,"Congo, The Democratic Republic of the",laptop,10,900.0
1561108,2020-08-06,Western Sahara,pen,13,1.25
1560518,2020-08-06,United States,notebook,2,4.99
1560709,2020-08-06,Portugal,pencil,14,0.99
1561122,2020-08-06,Saudi Arabia,notebook,15,4.99
1560847,2020-08-06,Cook Islands,mouse pad,2,5.99
1560540,2020-08-06,"Korea, Democratic People's Republic of",charging cable,9,11.95
1561162,2020-08-06,Jersey,pencil,11,0.99
1560283,2020-08-06,Bangladesh,pencil,6,0.99
1560631,2020-08-06,Guinea-Bissau,mouse pad,8,5.99
1560699,2020-08-06,Guyana,mouse pad,9,5.99
1560537,2020-08-06,Seychelles,ruler,13,3.99
1561293,2020-08-06,Eswatini,charging cable,3,11.95
1561494,2020-08-06,Gibraltar,wireless mouse,4,25.99
1561270,2020-08-06,Congo,AA batteries (4-pack),11,3.99
1561181,2020-08-06,Dominica,notebook,13,4.99
1561157,2020-08-06,Hungary,laptop,7,900.0
1560614,2020-08-06,Norway,wireless mouse,9,25.99
1561524,2020-08-06,Russian Federation,wireless mouse,8,25.99
1560652,2020-08-06,Iceland,wireless mouse,7,25.99
1561306,2020-08-06,Montenegro,headphones,8,99.99
1560367,2020-08-06,Indonesia,wireless mouse,7,25.99
