OrderID,OrderDate,Country,Product,QuantityOrdered,Price,Sales,Month,Day,Year
1551448,2020-01-01,Latvia,wireless mouse,6,25.99,155.94,1,1,2020
1551278,2020-01-01,Norway,notebook,1,4.99,4.99,1,1,2020
1551248,2020-01-01,Guadeloupe,pen,3,1.25,3.75,1,1,2020
1551203,2020-01-01,Cayman Islands,mouse pad,10,5.99,59.900000000000006,1,1,2020
1551133,2020-01-01,Saint Barthélemy,charging cable,4,11.95,47.8,1,1,2020
1551189,2020-01-01,Cabo Verde,laptop,8,900.0,7200.0,1,1,2020
1551232,2020-01-01,Côte d'Ivoire,pencil,2,0.99,1.98,1,1,2020
1551292,2020-01-01,South Sudan,laptop,5,900.0,4500.0,1,1,2020
1551788,2020-01-01,Viet Nam,wireless mouse,10,25.99,259.9,1,1,2020
1551512,2020-01-01,Marshall Islands,laptop,7,900.0,6300.0,1,1,2020
1551620,2020-01-01,Isle of Man,wireless mouse,2,25.99,51.98,1,1,2020
1551318,2020-01-01,Senegal,charging cable,15,11.95,179.25,1,1,2020
1551190,2020-01-01,Panama,pen,15,1.25,18.75,1,1,2020
1551498,2020-01-01,Jamaica,laptop,1,900.0,900.0,1,1,2020
1551344,2020-01-01,Turkey,headphones,10,99.99,999.9,1,1,2020
1551138,2020-01-01,Palau,mouse pad,2,5.99,11.98,1,1,2020
1551726,2020-01-01,Morocco,mouse pad,13,5.99,77.87,1,1,2020
1551146,2020-01-01,Norfolk Island,eraser,7,0.49,3.4299999999999997,1,1,2020
1551525,2020-01-01,Niger,wireless mouse,6,25.99,155.94,1,1,2020
1551435,2020-01-01,Burkina Faso,charging cable,10,11.95,119.5,1,1,2020
1551150,2020-01-01,United States,pen,3,1.25,3.75,1,1,2020
1551710,2020-01-01,Albania,headphones,1,99.99,99.99,1,1,2020
1551156,2020-01-01,Martinique,laptop,8,900.0,7200.0,1,1,2020
1551213,2020-01-01,Åland Islands,charging cable,9,11.95,107.55,1,1,2020
1551634,2020-01-02,Andorra,charging cable,15,11.95,179.25,1,2,2020
